id,titulo,url,url_poster,fecha_estreno,sinopsis,usuario,genero
ThorLT,Thor: Love and Thunder,,https://m.media-amazon.com/images/M/MV5BMzZjMTIwNjYtYTg0ZS00ZDFjLTk3MDctMTY3ZTgwMjQ4MmFiXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_FMjpg_UX1000_.jpg,08/07/2022,"La secuela de Thor: Ragnarock, y cuarta película en la saga de Thor.",IARZ,Accion
Aquaman,Aquaman and the Lost Kingdom,,https://m.media-amazon.com/images/M/MV5BM2QyYTRkMjMtMDk5NC00OTc0LWIyYTYtNGNhMzRjMTNhNGNkXkEyXkFqcGdeQXVyNjc0NzQzNTM@._V1_FMjpg_UX1000_.jpg,16/12/2022,Secuela de la película Aquaman ,IARZ,Accion
BrideWars,Guerra de Novias,,https://m.media-amazon.com/images/M/MV5BMTUyNTg2OTUwN15BMl5BanBnXkFtZTgwNzEzMzg5MTI@._V1_FMjpg_UX1000_.jpg,16/01/2009,Dos buenas amigas se convierten en rivales cuando programan sus respectivas bodas el mismo día.,IARZ,Comedia
Lightyear,Lightyear,,MV5BMTg0MzkzMTQtNWRlZS00MGU2LTgwYTktMjkyNTZkZTAzNTQ3XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_FMjpg_UX1000_.jpg (1000×1481) (media-amazon.com),17/06/2022,La historia de Buzz Lightyear y sus aventuras hasta el infinito y más allá,JCLV,Animacion
BohemianRhapsody,Bohemian Rhapsody,,MV5BMmVkYTI5YzQtYjgyZC00YzJjLWI4ZjgtNmRlZmUzNDI3M2JiXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg (1000×1441) (media-amazon.com),28/10/2018,Una crónica de los años anteriores a la legendaria aparición de Queen en el concierto Live Aid,JCLV,Musical
TheAmazingSpiderMan,The Amazing Spider-Man 2: La venganza de Electro,,MV5BZTFjZDk1OWYtYTQ5YS00OWMwLWI2NmEtM2YyNjFjNDlhMTUzXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_FMjpg_UX1000_.jpg (1000×1481) (media-amazon.com),18/04/2014,"Cuando Nueva York es asediada por Oscorp, depende de Spider-Man salvar la ciudad que juró proteger, así como a sus seres queridos",JCLV,Accion
MenInBlack,Men in Black,,https://m.media-amazon.com/images/M/MV5BODlhMzc5MTYtMzk5MS00NzFmLWEyNDItZTU4MzcxZjEzNTJjXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,08/01/1997,Un agente de policía se une a una organización secreta que controla y monitoriza la actividad extraterrestre en la Tierra.,LuisHL,CienciaFiccion
Colegasbarrio,Los colegas del barrio,,https://m.media-amazon.com/images/M/MV5BY2NmM2M2MWItNjdlMC00ZWI3LTkwODUtZDNkYWZjYjgzZjY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg,12/01/1996,Una parodia de varias películas estadounidenses.,Miami ,Comedia
Matrix,Matrix,,https://m.media-amazon.com/images/M/MV5BYWQxMzg0OGYtNGE3Yi00OGY4LWJjZDktZWZiODE2N2MyODgzXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,21/05/1999,"Cuando una bella desconocida lleva al hacker Neo a un inframundo prohibido, descubre la impactante verdad: la vida que conoce es un elaborado engaño de una ciberinteligencia malvada.",LuisHL,CienciaFiccion
GrownUps,Son como niños,,https://m.media-amazon.com/images/M/MV5BNjEyZGU2YmYtZjg3NS00ZmEyLTkyOTctOTdlYjQ2MmQ3Y2U1XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,27/06/2010,"Después de la muerte de su entrenador de baloncesto de la escuela secundaria, cinco buenos amigos y ex compañeros de equipo se reúnen para un fin de semana de vacaciones del 4 de julio.",IARZ,Comedia
YearOne,Año Uno,,https://m.media-amazon.com/images/M/MV5BMTQyMTU3NTI3N15BMl5BanBnXkFtZTcwMzkzMjU2Mg@@._V1_FMjpg_UX1000_.jpg,11/08/2009,"Tras ser expulsados de su tribu, dos cazadores-recolectores se encuentran con personajes bíblicos y acaban en la ciudad de Sodoma.",IARZ,Comedia
13Goingon30,13 Going on 30: El sueño de mi vida,,https://m.media-amazon.com/images/M/MV5BOTI0MGZmNDYtNWNhMi00YTkwLWI3NTgtN2YyYzFkYWRkZDkxXkEyXkFqcGdeQXVyMjc2Nzg5OTQ@._V1_FMjpg_UX1000_.jpg,25/04/2004,Una chica pide un deseo en su trece cumpleaños y se despierta al día siguiente siendo una mujer de treinta años.,Ariza,Comedia
Predestination,Predestination,,https://m.media-amazon.com/images/M/MV5BMTAzODc3NjU1NzNeQTJeQWpwZ15BbWU4MDk5NTQ4NTMx._V1_.jpg,24/08/2014,"Para su último trabajo, un agente del tiempo debe dar caza a un criminal que le ha eludido. La persecución se convierte en una sorprendente exploración del amor, el destino, la identidad y los tabús de los viajes en el tiempo.",Hale,Misterio
Drive,Drive,,https://m.media-amazon.com/images/M/MV5BZjY5ZjQyMjMtMmEwOC00Nzc2LTllYTItMmU2MzJjNTg1NjY0XkEyXkFqcGdeQXVyNjQ1MTMzMDQ@._V1_.jpg,28/12/11,"Durante el día, Driver es conductor especialista de cine, pero de noche se convierte en chófer para delincuentes. El mundo de Driver cambia el día en que conoce a Irene, una vecina que tiene un hijo pequeño y a su marido en la cárcel.",Hale,Accion
Hereditary,Hereditary,,https://m.media-amazon.com/images/M/MV5BMDM3NGMxYTgtNmU4MS00OTM0LTlmODEtOWQzZTBmMjMwMTg1XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,21/01/2018,"Tras la muerte de la matriarca, el duelo de una familia es perturbado por hechos trágicos e inquietantes, y empiezan desenmarañar oscuros secretos.",LuisHL,Terror
ElExorcista,El Exorcista,,https://m.media-amazon.com/images/M/MV5BM2FjMjQ2YzItMGI3My00ZGRiLTllMjgtZTJkMWUyZjk2YzNkXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_FMjpg_UX1000_.jpg,03/09/2001,Una adolescente es poseída por una entidad malévola y su madre obtiene la ayuda de dos curas para que la liberen.,LuisHL,Terror
HalloweenEnds,Halloween Ends,,https://m.media-amazon.com/images/M/MV5BZmFkMGVkYmQtMGNiYy00NzQyLTlhMjYtY2ZjZmFhMGJjYTliXkEyXkFqcGdeQXVyMTA3MDAxNDcw._V1_FMjpg_UX1000_.jpg,14/10/2022,"Enfrentamiento final entre Laurie Strode (Jamie Lee Curtis) y su viejo enemigo Michael Myers, esa figura enmascarada que la ha perseguido desde que escapó de la fatídica noche de Halloween de hace cuatro décadas.",Karo,Terror
NoMercy,No Mercy ,,https://m.media-amazon.com/images/M/MV5BMTk0MDQwNTM4Nl5BMl5BanBnXkFtZTgwMTc3MDE0MjE@._V1_.jpg,01/07/2010,"A pesar de que casi se ha demostrado que es el asesino, un asesino en serie amenaza con matar a la hija de un patólogo forense si no lo rescata.",Hale,Misterio
CodigoDaVinci,El código Da Vinci,,https://m.media-amazon.com/images/M/MV5BOTNjZDc1YmEtNTNhMS00MTBjLWEzM2UtNTVlNGE2MjQzNDNhXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_FMjpg_UX1000_.jpg,12/06/2006,"Un asesinato en el Louvre, y pistas en los cuadros de Da Vinci, conducen al descubrimiento de un misterio religioso protegido por una sociedad secreta durante dos mil años, que podría hacer temblar los cimientos del cristianismo",IARZ,Aventura
TierraInfierno,Así en la Tierra como en el Infierno,,https://m.media-amazon.com/images/M/MV5BZGY0NmJjZDgtOTk1ZS00MzhmLTkzMjMtYjU2YTYwNWVmZWRjXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_FMjpg_UX1000_.jpg,18/09/2014,"Cuando un equipo de exploradores se adentra en las catacumbas bajo las calles de París, descubren el oscuro secreto que se encuentra en esta ciudad de los muertos.",LuisHL,Terror
Dragon Ball,Dragon ball super: super hero,,https://m.media-amazon.com/images/M/MV5BYmQ1Y2Y4NmItY2E4Mi00ZmM2LWFiOTEtMGVmMDRhN2ZiODU0XkEyXkFqcGdeQXVyNTkxMzEwMzU@._V1_FMjpg_UX1000_.jpgg,22/04/2022,El Ejército de la Cinta Roja del pasado de Goku ha regresado con dos nuevos androides para desafiarlo a él y a sus amigos.,Andru Antelo,Anime
TheLast,The Last: Naruto the Movie,,https://m.media-amazon.com/images/M/MV5BMjk1NzA4Njg4Ml5BMl5BanBnXkFtZTgwMDgxODQ5MzE@._V1_FMjpg_UX1000_.jpg,12/06/2016,"La hermana menor de Hinata Hyuga ha sido secuestrada, por lo que Naruto debe hacer lo posible para salvarla.",LuisHL,Anime
Elcastilloambulante,El Castillo Ambulante,,https://m.media-amazon.com/images/M/MV5BNzBjZTZjZDYtOTM4MS00NWM0LThlMGEtYzBlMzllMjc4NzU4XkEyXkFqcGdeQXVyMjgyNDU4MjE@._V1_FMjpg_UX1000_.jpg,20/04/2004,Una joven sin confianza en sí misma es maldita con un cuerpo envejecido por una bruja odiosa. Su única oportunidad de romper el hechizo es un joven brujo en un castillo ambulante.,Ariza,Anime
MyHeroAcademia,My Hero Academia: Misión Mundial de Héroes,,https://m.media-amazon.com/images/M/MV5BMzc3Y2M3OTYtZmMzYi00OGFiLTg4OTEtZmI5MzhlMjhmOWE5XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_FMjpg_UX1000_.jpg,01/06/2022,"Deku se ve envuelto en un incidente y se transforma en el criminal más perseguido del país. Mientras tanto, una organización criminal conocida como Humanize pretende destruir a los poseedores de dones de todo el planeta.",Karo,Anime
Hachiko,Hachiko: Siempre a tu lado,,https://m.media-amazon.com/images/M/MV5BNDZiZDBkMTEtNzQ3ZS00YjI4LWFiYjgtNTBjNWM2MjkzMjYzXkEyXkFqcGdeQXVyNzExODc3Nzk@._V1_FMjpg_UX1000_.jpg,13/06/2009,Un profesor universitario crea un vínculo con un perro abandonado al que acoge.,Ariza,Biografia
Cinderella,Cinderella,,https://m.media-amazon.com/images/M/MV5BZTk3ZTEzNGUtZTcwYy00NmRmLWFhMGYtZjA4NWY1ZWI4MzMyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg,09/03/2021,"Versión musical del clásico cuento de hadas de ""La Cenicienta"". Cenicienta, aunque es obligada a hacer las tareas de casa por su madrastra y sus hermanastras, logra llegar al baile y conocer al Príncipe.",Karo,Fantasia
NarutoR,Road to Ninja: Naruto the Movie,,https://m.media-amazon.com/images/M/MV5BMTQ5MTcyNDYwMV5BMl5BanBnXkFtZTgwNzMzNzc0MjE@._V1_FMjpg_UX1000_.jpg,28/07/2012,"Naruto y Sakura son capturados en un mundo paralelo creado por Madara, sus intenciones son robar el espiritu del zorro de las nueve colas que yace dentro de Naruto.",Miami,Anime
The Lord of the Rings,El señor de los anillos: La comunidad del anillo,,https://m.media-amazon.com/images/M/MV5BMzgyNjdjOWMtMjAyYy00NzQ4LWIwYTQtZDk2ZDQzYWVlN2IwXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,19/12/2001,Un hobbit de la Comarca y ocho compañeros emprenden un viaje para destruir el poderoso Anillo Único y salvar la Tierra Media del Señor Oscuro Sauron.,IARZ,Fantasia
BeautyandtheBeast,La Bella y la Bestia,,https://m.media-amazon.com/images/M/MV5BMDY3YjBiZWUtZjU2My00YjIzLThhYzgtODZkZmNmOTZhZTU1XkEyXkFqcGdeQXVyMTgxOTIzNzk@._V1_FMjpg_UX1000_.jpg,17/03/2017,"Un príncipe egoísta está condenado a permanecer como un monstruo por el resto de su vida, a menos que aprenda a amar a la bella joven a la que mantiene prisionera",IARZ,Fantasia
Maleficent,Maléfica,,https://m.media-amazon.com/images/M/MV5BMjAwMzAzMzExOF5BMl5BanBnXkFtZTgwOTcwMDA5MTE@._V1_FMjpg_UX1000_.jpg,01/06/2014,"Un hada vengativa se ve obligada a maldecir a una princesa infantil, solo para descubrir que la niña puede ser la única persona que puede restaurar la paz en su problemática tierra.",IARZ,Fantasia
GrownUps,Grown Ups,,https://m.media-amazon.com/images/M/MV5BNjEyZGU2YmYtZjg3NS00ZmEyLTkyOTctOTdlYjQ2MmQ3Y2U1XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg,30/06/2010,"Después de la muerte de su entrenador de baloncesto de la escuela secundaria, cinco buenos amigos y ex compañeros de equipo se reúnen para un fin de semana de vacaciones del 4 de julio.",Hale,Comedia
GrownUps2,Grown Ups 2,,https://m.media-amazon.com/images/M/MV5BMjEzMWI0MGQtOTA1YS00YTg2LTg3MjgtZWQ4NzJhMmJlMWVhXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg,12/07/2013,"Tras mudarse con la familia a su ciudad natal para estar cerca de sus amigos y sus hijos, Lenny descubre que la locura de sigue a donde vaya.",Hale,Comedia
PapaGenial,Un papá genial,,https://m.media-amazon.com/images/M/MV5BYjAzNzQ4YzEtZWFlOS00YWVkLWE2NDctZDBiZTUxYjgwOTYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,15/10/1999,"Un vago licenciado en derecho adopta un niño para impresionar a su novia, pero nada sale como estaba previsto y se convierte en el improbable padre adoptivo.",Hale,Comedia
HotFuzz,Hot Fuzz,,https://m.media-amazon.com/images/M/MV5BNzQ0ZDNiODktNWJlOS00YWFlLWExMzktMDViZjc3OWE4MmQ5XkEyXkFqcGdeQXVyMTM2ODk1OTQ@._V1_.jpg,12/05/2007,"Un hábil agente de policía londinense, tras irritar a sus superiores con su vergonzosa eficacia, es trasladado a un pueblo en el que los agentes se oponen a su fervor por las normas, mientras una cadena de asesinatos asola la localidad.",Hale,Comedia
Paul,Paul,,https://m.media-amazon.com/images/M/MV5BZTdjNGE4ODAtYTIxZi00N2NiLWFiMTItMjgzZTkxYjM1ZjhkXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg,22/07/2011,"Dos frikis ingleses de los cómics, que viajan por Estados Unidos, se encuentran con un alienígena a las afueras del Área 51.",Hale,Comedia
One Piece: Stampede,One Piece: Stampede,,https://m.media-amazon.com/images/M/MV5BM2MxY2QwYTAtMDM1My00MTc0LWEwZjktMDdjODY2NWJiNDg2XkEyXkFqcGdeQXVyODY3ODQ2MTk@._V1_.jpg,08/09/2019,"Todos los piratas se reúnen en la Expo Pirata, pero los marines deciden interferir.",Cg,Anime
"tick, tick...BOOM!","tick, tick...BOOM!",,https://m.media-amazon.com/images/M/MV5BZmMyMmE0M2UtN2E2MC00YzVmLTkwODgtOTVhYjVlOTBhY2RjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,11/12/2021,"Mientras espera su gran oportunidad, Jon escribe una obra titulada Superbia, que espera sea una gran musical. Cuando se acerca a su treinta cumpleaños, se siente abrumado por la ansiedad,",Cg,Biografia
